,match_id,team_id,possession_full_match,shots_on,shots_on_first_half,shots_on_second_half,goals,goals_first_half,goals_second_half
425,1979,8655,40,7,2,5,0,0,0
426,1981,8586,60,9,3,6,2,1,1
427,1981,8654,40,5,2,3,1,0,1
428,1982,10252,47,6,3,3,2,1,1
429,1982,8668,53,3,3,0,0,0,0
430,1983,8549,49,9,4,5,1,1,0
431,1983,8667,51,4,1,3,0,0,0
432,1984,9879,53,9,3,6,1,1,0
433,1984,8456,47,6,0,6,1,0,1
434,1986,10194,52,9,4,5,3,1,2
435,1986,10261,48,5,2,3,0,0,0
436,1987,8528,41,3,1,2,3,1,2
437,1987,9825,59,1,0,1,1,0,1
438,1989,8650,52,13,8,5,3,2,1
439,1989,9825,48,0,0,0,0,0,0
440,1991,8586,52,18,8,10,2,0,2
441,1991,10261,48,5,3,2,0,0,0
442,1993,8549,52,18,10,8,2,1,1
443,1993,9879,48,6,1,5,0,0,0
444,1994,8456,57,9,3,6,1,1,0
445,1994,8659,43,12,3,9,0,0,0
446,1995,8462,53,13,9,4,2,1,1
447,1995,8559,47,1,1,0,0,0,0
448,1996,8655,43,4,2,2,3,3,0
449,1996,10194,57,2,0,2,2,0,2
450,1997,8528,48,6,4,2,3,2,1
451,1997,10260,52,6,2,4,0,0,0
452,1998,8668,51,6,3,3,1,1,0
453,1998,8455,49,10,3,7,2,2,0
454,1999,8586,47,2,1,1,1,1,0
455,1999,10260,53,12,8,4,0,0,0
456,2000,9825,54,11,3,8,4,3,1
457,2000,8549,46,6,2,4,1,1,0
458,2002,8456,48,7,2,5,2,2,0
459,2002,8668,52,5,1,4,0,0,0
460,2003,10261,52,7,4,3,3,2,1
461,2003,8462,48,6,2,4,2,0,2
462,2004,8528,46,11,1,10,4,3,1
463,2004,8655,54,8,7,1,0,0,0
464,2005,9879,57,5,1,4,4,2,2
465,2005,10194,43,4,0,4,0,0,0
466,2006,8559,48,5,3,2,3,1,2
467,2006,10252,52,6,5,1,1,0,1
468,2007,8472,51,4,4,0,3,1,2
469,2007,8659,49,6,3,3,1,1,0
470,2008,8650,54,7,5,2,3,2,1
471,2008,8667,46,2,0,2,1,0,1
472,2009,10261,43,4,3,1,1,1,0
473,2009,8650,57,11,6,5,3,1,2
474,2010,8668,54,6,4,2,1,1,0
475,2010,8472,46,6,1,5,1,0,1
476,2011,8586,55,13,9,4,1,1,0
477,2011,8659,45,7,4,3,1,0,1
478,2012,8667,45,5,2,3,2,1,1
479,2012,10252,55,6,3,3,1,0,1
480,2013,8549,44,8,7,1,2,0,2
481,2013,10260,56,3,0,3,0,0,0
482,2014,8655,51,8,2,6,2,1,1
483,2014,8456,49,6,4,2,0,0,0
484,2015,8462,48,5,1,4,2,1,1
485,2015,9825,52,6,2,4,2,0,2
486,2016,10194,47,5,2,3,3,0,3
487,2016,8654,53,2,2,0,2,0,2
488,2017,8528,55,13,9,4,2,1,1
489,2017,8559,45,2,0,2,1,0,1
490,2018,9879,44,2,2,0,1,1,0
491,2018,8455,56,4,2,2,0,0,0
492,2019,10260,49,6,3,3,1,1,0
493,2019,8456,51,5,2,3,0,0,0
494,2020,9825,44,9,2,7,2,1,1
495,2020,8455,56,5,4,1,0,0,0
496,2021,8650,51,7,2,5,1,1,0
497,2021,8654,49,2,1,1,0,0,0
498,2022,8668,51,6,3,3,1,1,0
499,2022,8586,49,0,0,0,0,0,0
500,2023,8549,43,4,3,1,2,1,1
501,2023,10261,57,7,3,4,1,0,1
502,2024,8655,55,4,2,2,1,1,0
503,2024,8462,45,4,1,3,3,1,2
504,2025,10252,43,5,3,2,2,2,0
505,2025,9879,57,8,5,3,1,0,1
506,2026,8472,55,2,2,0,1,0,1
507,2026,8559,45,2,0,2,2,0,2
508,2030,8586,51,9,8,1,3,2,1
509,2030,8456,49,4,1,3,1,0,1
510,2031,8668,63,6,2,4,1,0,1
511,2031,8654,37,6,1,5,0,0,0
512,2033,10261,52,4,1,3,1,1,0
513,2033,9879,48,4,2,2,3,2,1
514,2034,8667,49,9,5,4,2,2,0
515,2034,8559,51,8,5,3,1,1,0
516,2035,8659,41,7,3,4,1,1,0
517,2035,8650,59,7,3,4,3,0,3
518,2037,8528,45,3,2,1,2,0,2
519,2037,10194,55,6,4,2,0,0,0
520,2038,8655,43,5,4,1,1,1,0
521,2038,8455,57,11,6,5,3,0,3
522,2040,8586,46,3,2,1,3,0,3
523,2040,8650,54,2,0,2,0,0,0
524,2041,8455,56,6,3,3,2,2,0
525,2041,8472,44,4,0,4,1,0,1
526,2042,8654,54,7,2,5,2,2,0
527,2042,8549,46,4,1,3,1,0,1
528,2043,10261,43,3,3,0,2,1,1
529,2043,10252,57,7,5,2,0,0,0
530,2044,8456,59,16,7,9,2,2,0
531,2044,8559,41,0,0,0,1,1,0
532,2045,8659,51,6,4,2,2,0,2
533,2045,8655,49,4,4,0,1,0,1
534,2046,8668,48,12,6,6,2,2,0
535,2046,9879,52,8,2,6,2,1,1
536,2047,10260,48,4,2,2,2,1,1
537,2047,8667,52,9,4,5,0,0,0
538,2048,8528,49,9,6,3,1,0,1
539,2048,8462,51,3,3,0,0,0,0
540,2050,8586,54,14,5,9,2,1,1
541,2050,10252,46,9,5,4,1,0,1
542,2052,8455,52,5,2,3,1,0,1
543,2052,8456,48,3,1,2,0,0,0
544,2054,9879,64,11,5,6,2,2,0
545,2054,8559,36,5,1,4,0,0,0
546,2059,8650,64,13,6,7,5,1,4
547,2059,10194,36,2,0,2,0,0,0
548,2060,8549,49,12,4,8,1,1,0
549,2060,8472,51,11,5,6,3,0,3
550,2062,8654,59,4,3,1,2,2,0
551,2062,10261,41,9,3,6,3,1,2
552,2064,9879,53,5,2,3,5,1,4
553,2064,8655,47,2,2,0,0,0,0
554,2065,8559,43,7,3,4,3,1,2
555,2065,9825,57,5,0,5,1,1,0
556,2066,8659,49,7,3,4,1,0,1
557,2066,10252,51,4,2,2,0,0,0
558,2067,8667,46,4,3,1,2,0,2
559,2067,8668,54,7,3,4,0,0,0
560,2069,8559,21,5,3,2,3,1,2
561,2069,10260,79,19,12,7,1,1,0
562,2070,9825,62,12,4,8,2,1,1
563,2070,8667,38,3,0,3,1,1,0
564,2072,8650,51,8,2,6,1,0,1
565,2072,8668,49,2,1,1,1,0,1
566,2074,8655,46,6,5,1,1,1,0
567,2074,10261,54,1,0,1,1,0,1
568,2075,8654,42,9,1,8,3,1,2
569,2075,9879,58,7,3,4,0,0,0
570,2077,8455,58,13,6,7,1,0,1
571,2077,10194,42,6,1,5,1,0,1
572,2078,8456,49,8,2,6,3,0,3
573,2078,8528,51,4,1,3,0,0,0
574,2079,8472,39,5,3,2,2,1,1
