,match_id,team_id,possession_until_halftime,shots_on,shots_on_first_half,shots_on_second_half,goals,goals_first_half,goals_second_half
514,2027,8528,55,6,5,1,3,2,1
515,2027,8659,45,6,3,3,2,2,0
516,2028,8667,58,4,2,2,2,1,1
517,2028,10194,42,0,0,0,0,0,0
518,2030,8586,43,9,8,1,1,0,1
519,2030,8456,57,4,1,3,2,0,2
520,2031,8668,59,6,2,4,3,2,1
521,2031,8654,41,6,1,5,1,0,1
522,2032,8549,57,6,5,1,1,0,1
523,2032,10252,43,6,2,4,0,0,0
524,2033,10261,49,4,1,3,1,1,0
525,2033,9879,51,4,2,2,3,2,1
526,2034,8667,59,9,5,4,2,2,0
527,2034,8559,41,8,5,3,1,1,0
528,2035,8659,41,7,3,4,1,1,0
529,2035,8650,59,7,3,4,3,0,3
530,2036,8462,47,2,2,0,1,1,0
531,2036,8472,53,8,2,6,1,0,1
532,2037,8528,44,3,2,1,2,0,2
533,2037,10194,56,6,4,2,0,0,0
534,2038,8655,39,5,4,1,1,1,0
535,2038,8455,61,11,6,5,3,0,3
536,2039,9825,67,9,7,2,1,1,0
537,2039,10194,33,1,1,0,2,2,0
538,2040,8586,48,3,2,1,3,0,3
539,2040,8650,52,2,0,2,0,0,0
540,2041,8455,65,6,3,3,2,2,0
541,2041,8472,35,4,0,4,1,0,1
542,2042,8654,46,7,2,5,2,1,1
543,2042,8549,54,4,1,3,0,0,0
544,2043,10261,45,3,3,0,2,1,1
545,2043,10252,55,7,5,2,0,0,0
546,2045,8659,52,6,4,2,2,2,0
547,2045,8655,48,4,4,0,1,1,0
548,2046,8668,52,12,6,6,1,1,0
549,2046,9879,48,8,2,6,0,0,0
550,2047,10260,48,4,2,2,3,2,1
551,2047,8667,52,9,4,5,1,0,1
552,2050,8586,45,14,5,9,2,2,0
553,2050,10252,55,9,5,4,2,1,1
554,2052,8455,47,5,2,3,2,2,0
555,2052,8456,53,3,1,2,3,0,3
556,2054,9879,59,11,5,6,2,1,1
557,2054,8559,41,5,1,4,0,0,0
558,2055,8654,58,12,8,4,1,0,1
559,2055,8659,42,5,2,3,0,0,0
560,2058,8472,48,3,2,1,2,1,1
561,2058,8528,52,9,3,6,1,0,1
562,2059,8650,64,13,6,7,1,0,1
563,2059,10194,36,2,0,2,0,0,0
564,2060,8549,48,12,4,8,2,2,0
565,2060,8472,52,11,5,6,0,0,0
566,2061,8586,45,7,3,4,5,1,4
567,2061,8528,55,5,2,3,0,0,0
568,2062,8654,57,4,3,1,1,1,0
569,2062,10261,43,9,3,6,3,0,3
570,2064,9879,52,5,2,3,2,2,0
571,2064,8655,48,2,2,0,3,1,2
572,2065,8559,40,7,3,4,5,1,4
573,2065,9825,60,5,0,5,0,0,0
574,2066,8659,55,7,3,4,3,1,2
575,2066,10252,45,4,2,2,1,1,0
576,2067,8667,48,4,3,1,1,0,1
577,2067,8668,52,7,3,4,0,0,0
578,2068,10260,47,8,4,4,2,0,2
579,2068,8455,53,16,7,9,0,0,0
580,2069,8559,19,5,3,2,3,1,2
581,2069,10260,81,19,12,7,1,1,0
582,2070,9825,53,12,4,8,2,1,1
583,2070,8667,47,3,0,3,1,1,0
584,2071,8472,44,2,2,0,1,0,1
585,2071,10252,56,7,6,1,1,0,1
586,2072,8650,49,8,2,6,1,1,0
587,2072,8668,51,2,1,1,1,0,1
588,2074,8655,47,6,5,1,3,1,2
589,2074,10261,53,1,0,1,0,0,0
590,2076,8586,55,7,2,5,1,0,1
591,2076,8462,45,5,3,2,1,0,1
592,2077,8455,55,13,6,7,3,0,3
593,2077,10194,45,6,1,5,0,0,0
594,2078,8456,49,8,2,6,2,1,1
595,2078,8528,51,4,1,3,1,0,1
596,2080,8586,61,15,8,7,1,1,0
597,2080,8667,39,4,3,1,0,0,0
598,2081,8654,55,5,2,3,1,1,0
599,2081,8559,45,6,3,3,0,0,0
600,2082,8668,54,3,1,2,2,1,1
601,2082,10261,46,9,4,5,1,0,1
602,2083,8650,55,6,3,3,2,1,1
603,2083,8456,45,2,2,0,0,0,0
604,2084,8655,39,4,2,2,2,1,1
605,2084,10260,61,8,6,2,0,0,0
606,2085,8659,43,6,1,5,2,1,1
607,2085,9879,57,5,4,1,0,0,0
608,2086,10194,45,3,3,0,1,1,0
609,2086,8462,55,11,3,8,0,0,0
610,2087,8528,55,11,3,8,1,1,0
611,2087,8549,45,2,1,1,0,0,0
612,2088,8455,49,15,9,6,1,1,0
613,2088,10252,51,2,2,0,1,1,0
614,2089,10260,77,10,6,4,1,1,0
615,2089,8659,23,2,1,1,3,1,2
616,2090,9825,53,11,4,7,1,1,0
617,2090,8668,47,4,3,1,4,0,4
618,2091,8650,51,8,4,4,3,2,1
619,2091,8528,49,3,2,1,2,1,1
620,2092,8462,44,3,3,0,2,1,1
621,2092,10252,56,6,1,5,1,0,1
622,2093,8455,60,8,4,4,2,2,0
623,2093,8549,40,4,1,3,2,0,2
624,2094,8456,65,10,4,6,1,0,1
