,match_id,team_id,possession_only_second_half,shots_on,shots_on_first_half,shots_on_second_half,goals,goals_first_half,goals_second_half
376,1963,8655,63,12,6,6,1,0,1
377,1963,8654,37,1,1,0,0,0,0
378,1964,9879,46,11,9,2,4,2,2
379,1964,10260,54,13,1,12,1,1,0
380,1965,8659,47,2,1,1,2,1,1
381,1965,8559,53,9,5,4,0,0,0
382,1966,8462,40,9,4,5,2,1,1
383,1966,8668,60,3,0,3,1,0,1
384,1967,10194,43,2,1,1,1,0,1
385,1967,8549,57,6,3,3,0,0,0
386,1968,8667,56,3,2,1,3,2,1
387,1968,8528,44,6,4,2,3,1,2
388,1969,10260,48,6,3,3,3,2,1
389,1969,10252,52,4,4,0,1,1,0
390,1971,8472,44,8,3,5,1,1,0
391,1971,8654,56,7,1,6,3,0,3
392,1972,8668,52,7,3,4,2,1,1
393,1972,8528,48,10,2,8,2,0,2
394,1973,8455,52,10,2,8,1,1,0
395,1973,10261,48,6,2,4,1,0,1
396,1974,8586,49,4,3,1,1,1,0
397,1974,8655,51,5,0,5,4,0,4
398,1975,8650,52,9,5,4,2,1,1
399,1975,9879,48,2,0,2,0,0,0
400,1976,8559,49,7,4,3,1,1,0
401,1976,8549,51,4,2,2,0,0,0
402,1977,10194,41,5,5,0,1,1,0
403,1977,8659,59,12,2,10,1,0,1
404,1978,8462,45,1,1,0,4,2,2
405,1978,8667,55,1,0,1,2,1,1
406,1980,8472,60,7,7,0,1,0,1
407,1980,10260,40,4,2,2,0,0,0
408,1981,8586,56,9,3,6,1,0,1
409,1981,8654,44,5,2,3,0,0,0
410,1982,10252,47,6,3,3,1,1,0
411,1982,8668,53,3,3,0,2,0,2
412,1983,8549,45,9,4,5,2,2,0
413,1983,8667,55,4,1,3,5,0,5
414,1984,9879,59,9,3,6,2,1,1
415,1984,8456,41,6,0,6,0,0,0
416,1985,8659,52,4,3,1,2,1,1
417,1985,8462,48,2,0,2,1,0,1
418,1986,10194,-44,9,4,5,1,1,0
419,1986,10261,144,5,2,3,0,0,0
420,1987,8528,31,3,1,2,1,1,0
421,1987,9825,69,1,0,1,1,0,1
422,1990,8472,49,5,2,3,3,1,2
423,1990,8667,51,2,2,0,0,0,0
424,1991,8586,51,18,8,10,3,1,2
425,1991,10261,49,5,3,2,1,0,1
426,1992,8654,52,9,4,5,3,2,1
427,1992,10252,48,7,6,1,0,0,0
428,1993,8549,56,18,10,8,2,0,2
429,1993,9879,44,6,1,5,0,0,0
430,1994,8456,58,9,3,6,2,1,1
431,1994,8659,42,12,3,9,0,0,0
432,1995,8462,58,13,9,4,1,1,0
433,1995,8559,42,1,1,0,0,0,0
434,1996,8655,32,4,2,2,2,1,1
435,1996,10194,68,2,0,2,0,0,0
436,1997,8528,47,6,4,2,3,3,0
437,1997,10260,53,6,2,4,2,0,2
438,1998,8668,51,6,3,3,3,2,1
439,1998,8455,49,10,3,7,0,0,0
440,1999,8586,36,2,1,1,1,1,0
441,1999,10260,64,12,8,4,0,0,0
442,2000,9825,52,11,3,8,4,3,1
443,2000,8549,48,6,2,4,1,1,0
444,2002,8456,45,7,2,5,2,2,0
445,2002,8668,55,5,1,4,0,0,0
446,2005,9879,55,5,1,4,3,2,1
447,2005,10194,45,4,0,4,2,0,2
448,2006,8559,52,5,3,2,4,3,1
449,2006,10252,48,6,5,1,0,0,0
450,2007,8472,56,4,4,0,4,2,2
451,2007,8659,44,6,3,3,0,0,0
452,2008,8650,55,7,5,2,3,1,2
453,2008,8667,45,2,0,2,1,0,1
454,2009,10261,44,4,3,1,3,1,2
455,2009,8650,56,11,6,5,1,1,0
456,2010,8668,60,6,4,2,4,1,3
457,2010,8472,40,6,1,5,1,1,0
458,2011,8586,58,13,9,4,3,2,1
459,2011,8659,42,7,4,3,1,0,1
460,2012,8667,51,5,2,3,1,1,0
461,2012,10252,49,6,3,3,3,1,2
462,2013,8549,40,8,7,1,1,1,0
463,2013,10260,60,3,0,3,1,0,1
464,2014,8655,58,8,2,6,1,1,0
465,2014,8456,42,6,4,2,1,0,1
466,2015,8462,54,5,1,4,2,1,1
467,2015,9825,46,6,2,4,1,0,1
468,2017,8528,-45,13,9,4,2,0,2
469,2017,8559,145,2,0,2,0,0,0
470,2018,9879,48,2,2,0,2,1,1
471,2018,8455,52,4,2,2,0,0,0
472,2019,10260,30,6,3,3,2,1,1
473,2019,8456,70,5,2,3,2,0,2
474,2020,9825,32,9,2,7,3,0,3
475,2020,8455,68,5,4,1,2,0,2
476,2021,8650,45,7,2,5,2,1,1
477,2021,8654,55,2,1,1,1,0,1
478,2022,8668,64,6,3,3,1,1,0
479,2022,8586,36,0,0,0,0,0,0
480,2023,8549,42,4,3,1,2,1,1
481,2023,10261,58,7,3,4,0,0,0
482,2024,8655,62,4,2,2,1,1,0
483,2024,8462,38,4,1,3,0,0,0
484,2025,10252,42,5,3,2,2,1,1
485,2025,9879,58,8,5,3,1,0,1
486,2026,8472,57,2,2,0,1,1,0
487,2026,8559,43,2,0,2,3,1,2
488,2027,8528,45,6,5,1,2,2,0
489,2027,8659,55,6,3,3,1,0,1
490,2030,8586,59,9,8,1,3,2,1
491,2030,8456,41,4,1,3,1,0,1
492,2031,8668,67,6,2,4,1,0,1
493,2031,8654,33,6,1,5,0,0,0
494,2033,10261,55,4,1,3,1,1,0
495,2033,9879,45,4,2,2,3,2,1
496,2034,8667,39,9,5,4,2,2,0
497,2034,8559,61,8,5,3,1,1,0
498,2035,8659,41,7,3,4,1,1,0
499,2035,8650,59,7,3,4,3,0,3
500,2037,8528,46,3,2,1,1,1,0
501,2037,10194,54,6,4,2,1,0,1
502,2038,8655,47,5,4,1,2,0,2
503,2038,8455,53,11,6,5,0,0,0
504,2040,8586,44,3,2,1,1,1,0
505,2040,8650,56,2,0,2,3,0,3
506,2041,8455,47,6,3,3,3,0,3
507,2041,8472,53,4,0,4,0,0,0
508,2042,8654,62,7,2,5,2,2,0
509,2042,8549,38,4,1,3,1,0,1
510,2043,10261,41,3,3,0,2,1,1
511,2043,10252,59,7,5,2,0,0,0
512,2046,8668,44,12,6,6,2,2,0
513,2046,9879,56,8,2,6,1,1,0
514,2047,10260,48,4,2,2,3,2,1
515,2047,8667,52,9,4,5,1,0,1
516,2050,8586,63,14,5,9,2,2,0
517,2050,10252,37,9,5,4,2,1,1
518,2052,8455,57,5,2,3,2,2,0
519,2052,8456,43,3,1,2,3,0,3
520,2054,9879,69,11,5,6,2,1,1
521,2054,8559,31,5,1,4,0,0,0
522,2059,8650,64,13,6,7,1,0,1
523,2059,10194,36,2,0,2,0,0,0
524,2062,8654,61,4,3,1,2,1,1
525,2062,10261,39,9,3,6,1,0,1
526,2064,9879,54,5,2,3,1,0,1
527,2064,8655,46,2,2,0,0,0,0
528,2065,8559,46,7,3,4,2,2,0
529,2065,9825,54,5,0,5,0,0,0
530,2066,8659,43,7,3,4,5,1,4
531,2066,10252,57,4,2,2,0,0,0
532,2067,8667,44,4,3,1,1,1,0
